sale_id,product_id,customer_id,branch_id,quantity,unit_price,sale_date,total
28,93,134,5,9,435.79,2024-03-08 15:02:25.257221,3922.11
29,59,98,6,6,2571.32,2024-09-15 12:42:53.440565,15427.92
30,72,29,3,8,4488.3,2024-07-04 05:31:39.418950,35906.4
31,42,115,10,5,868.74,2024-03-07 23:03:32.596975,4343.7
32,2,149,1,2,1149.95,2024-07-21 11:53:49.319812,2299.9
33,60,68,8,1,2779.03,2024-02-07 07:16:40.190758,2779.03
34,80,74,8,5,318.6,2024-05-21 15:51:50.266933,1593.0
35,11,74,5,9,1305.27,2024-08-29 01:20:04.675054,11747.43
36,91,52,9,8,2317.94,2024-03-29 22:44:53.668282,18543.52
37,55,36,4,2,3859.83,2024-11-23 00:28:39.227369,7719.66
38,53,141,3,4,1476.41,2024-09-25 18:34:56.305300,5905.64
39,86,60,4,3,894.25,2024-01-23 22:35:00.378164,2682.75
40,20,40,3,6,463.28,2024-06-27 16:52:52.187596,2779.68
41,97,91,6,2,4269.7,2024-10-11 14:03:29.984681,8539.4
42,19,129,9,4,3874.36,2024-02-04 06:54:40.486674,15497.44
43,75,44,3,2,1207.96,2024-03-21 04:44:17.439996,2415.92
44,85,25,1,9,2067.33,2024-04-26 21:44:39.374563,18605.97
45,66,108,3,6,2176.82,2024-05-11 15:24:41.243706,13060.92
46,9,91,1,4,3923.28,2024-01-07 07:02:04.402167,15693.12
47,70,54,9,3,1860.24,2024-05-24 12:05:43.524420,5580.72
48,55,94,9,5,1164.44,2024-07-04 20:58:35.871976,5822.2
49,100,135,2,4,4633.9,2024-04-29 03:34:23.107600,18535.6
50,21,50,4,4,2629.99,2024-04-04 08:58:04.579522,10519.96
51,22,55,4,2,2545.69,2024-02-22 13:25:40.272121,5091.38
52,31,92,4,5,3800.1,2024-10-09 20:39:08.223284,19000.5
53,84,71,4,7,2337.53,2024-09-27 05:18:26.852754,16362.71
54,98,142,4,9,3548.85,2024-11-08 08:51:54.189949,31939.65
55,97,25,6,9,993.38,2024-03-23 08:06:33.789578,8940.42
56,28,57,3,6,1621.62,2024-07-21 18:59:27.592076,9729.72
57,72,107,7,9,2423.49,2024-08-29 13:39:55.016808,21811.41
58,69,18,7,1,3208.77,2024-06-20 20:18:54.747216,3208.77
59,32,114,1,2,3472.69,2024-07-27 01:53:05.449744,6945.38
60,77,69,2,6,499.56,2024-05-28 14:47:45.077441,2997.36
61,66,63,9,3,648.79,2024-01-31 01:06:54.705373,1946.37
62,29,16,9,1,4643.02,2024-11-09 04:58:36.908178,4643.02
63,35,33,5,5,4198.3,2024-08-28 16:29:22.854123,20991.5
64,15,99,10,3,691.6,2024-04-15 19:24:18.064518,2074.8
65,40,4,2,9,1504.94,2024-02-07 22:49:34.359544,13544.46
66,78,111,9,9,1026.28,2024-09-29 02:31:02.095594,9236.52
67,59,81,2,4,3034.02,2024-05-27 15:02:18.844574,12136.08
68,46,6,3,1,1478.39,2024-04-23 01:03:23.742428,1478.39
69,84,121,4,6,2843.92,2024-07-30 14:09:37.003068,17063.52
70,29,125,8,9,521.93,2024-06-02 18:32:29.012663,4697.37
71,19,40,1,9,237.16,2024-08-11 05:15:59.907705,2134.44
72,22,103,9,2,1142.26,2024-12-22 20:28:55.805452,2284.52
73,44,6,7,1,2466.8,2024-03-04 17:41:03.354371,2466.8
74,99,67,2,3,3360.42,2024-12-21 03:31:21.271472,10081.26
75,56,81,6,5,3939.8,2024-09-04 00:09:28.623514,19699.0
76,65,1,7,4,1764.51,2024-04-16 04:17:17.068576,7058.04
77,85,90,3,3,2099.18,2024-11-28 07:04:27.713386,6297.54
78,53,27,2,8,3103.9,2024-09-08 05:13:58.397892,24831.2
79,58,11,8,1,4743.42,2024-02-05 14:12:35.380144,4743.42
80,12,69,7,9,123.36,2024-12-22 05:13:15.629043,1110.24
81,30,28,10,3,1708.21,2024-11-20 16:29:40.890057,5124.63
82,92,122,2,7,3657.64,2024-10-28 12:59:27.371800,25603.48
83,75,149,10,1,4556.64,2024-10-27 10:51:09.612306,4556.64
84,34,7,2,3,4402.81,2024-05-12 19:13:57.840977,13208.43
85,60,107,1,2,1920.42,2024-02-19 06:20:34.512208,3840.84
86,80,105,4,8,252.06,2024-09-06 23:58:41.016715,2016.48
87,6,147,5,2,106.3,2024-08-30 19:18:05.896528,212.6
88,91,3,4,5,863.12,2024-03-14 11:21:48.232979,4315.6
89,28,150,8,7,228.18,2024-07-03 01:54:45.420669,1597.26
90,21,80,7,1,174.55,2024-07-04 00:10:13.543692,174.55
91,91,118,6,4,952.09,2024-10-04 18:02:20.190015,3808.36
92,98,43,6,5,2159.99,2024-06-17 19:36:43.759335,10799.95
93,17,117,9,4,2797.25,2024-10-11 01:49:18.859773,11189.0
94,90,117,9,1,4430.39,2024-06-21 01:40:56.466944,4430.39
95,55,62,7,6,2422.57,2024-10-07 16:15:01.880486,14535.42
96,57,24,4,4,3465.47,2024-01-06 06:20:08.905701,13861.88
97,48,45,1,9,4026.05,2024-12-21 08:24:37.164196,36234.45
98,73,128,1,5,1683.55,2024-02-29 16:46:35.602378,8417.75
99,60,89,9,4,3635.14,2024-02-15 01:28:56.263233,14540.56
100,28,114,8,2,3491.75,2024-09-05 00:59:52.615894,6983.5
101,14,114,1,7,573.69,2024-06-29 20:18:49.123166,4015.83
102,73,147,4,1,4067.89,2024-05-19 19:41:42.162369,4067.89
103,37,138,6,4,1973.82,2024-08-04 18:52:18.543953,7895.28
104,44,83,5,9,1171.34,2024-01-10 02:36:56.820677,10542.06
105,97,101,2,9,867.2,2024-06-01 03:53:08.829615,7804.8
106,33,34,2,6,4680.52,2024-12-28 12:50:25.315828,28083.12
107,10,86,8,3,1479.06,2024-09-17 20:18:44.935666,4437.18
108,70,112,2,4,3900.49,2024-06-12 23:57:02.321953,15601.96
109,82,122,2,6,4137.03,2024-07-04 04:10:05.070102,24822.18
110,39,81,5,7,4681.85,2024-12-29 02:26:24.139220,32772.95
111,87,113,9,4,3078.76,2024-11-15 10:22:26.890780,12315.04
112,71,4,9,4,984.81,2024-05-19 18:51:53.171096,3939.24
113,23,25,4,1,586.32,2024-09-12 10:32:10.866714,586.32
114,86,28,1,7,447.54,2024-08-20 00:28:55.401606,3132.78
115,52,122,8,6,3646.95,2024-02-18 23:22:36.407910,21881.7
116,28,36,5,6,4015.59,2024-11-30 03:00:11.316912,24093.54
117,68,34,10,9,3959.28,2024-03-06 00:47:46.434138,35633.52
118,21,104,2,3,716.8,2024-04-06 23:06:13.066423,2150.4
119,35,43,2,9,2189.52,2024-03-25 22:42:02.677839,19705.68
120,33,134,4,7,265.59,2024-09-21 12:48:05.259368,1859.13
121,23,75,10,9,1680.19,2024-01-20 12:07:08.059511,15121.71
122,43,26,9,4,2169.95,2024-01-18 16:17:08.098701,8679.8
123,99,100,6,3,1765.59,2024-04-17 22:11:33.609254,5296.77
124,73,68,9,6,4338.96,2024-07-27 10:11:36.140642,26033.76
125,66,119,4,7,4951.89,2024-05-23 05:46:46.517980,34663.23
126,44,95,3,6,2093.8,2024-01-11 00:36:49.355922,12562.8
127,65,129,9,3,1801.55,2024-02-08 05:53:20.906074,5404.65
128,70,127,9,5,4325.43,2024-02-14 20:53:13.377467,21627.15
129,19,52,8,9,257.19,2024-01-19 20:07:00.013458,2314.71
130,100,132,6,8,3978.4,2024-04-17 17:09:12.152900,31827.2
131,16,123,4,4,541.39,2024-01-14 03:48:11.317219,2165.56
132,24,71,6,2,1199.94,2024-01-29 15:03:29.412308,2399.88
133,39,92,10,5,4378.57,2024-05-31 15:32:15.165322,21892.85
134,76,26,10,1,972.3,2024-07-27 10:28:18.315425,972.3
135,16,132,1,9,2257.91,2024-12-16 23:52:25.427486,20321.19
136,48,30,7,1,1984.24,2024-08-06 03:45:15.226502,1984.24
137,93,51,1,9,1006.09,2024-09-09 15:34:40.663288,9054.81
138,42,97,5,5,2250.03,2024-10-17 21:44:57.955253,11250.15
139,89,24,4,1,3232.49,2024-02-17 15:04:25.326610,3232.49
140,61,76,5,2,3430.19,2024-06-08 03:28:59.317538,6860.38
141,81,113,1,3,131.65,2024-04-27 19:03:25.181213,394.95
142,12,10,10,7,1665.03,2024-04-03 20:11:59.902783,11655.21
143,40,19,3,6,3737.96,2024-02-04 12:33:38.836993,22427.76
144,32,143,5,4,1569.7,2024-08-11 14:46:47.402074,6278.8
145,42,133,4,7,3915.97,2024-06-13 15:11:16.631625,27411.79
146,28,100,3,4,1747.4,2024-05-19 04:08:18.921283,6989.6
147,39,6,9,7,3675.18,2024-12-13 16:02:42.426969,25726.26
148,62,122,5,2,1089.23,2024-07-03 17:16:12.068154,2178.46
149,47,136,9,8,4834.67,2024-06-16 14:46:43.636152,38677.36
150,23,57,3,5,2565.76,2024-11-27 16:36:33.791641,12828.8
151,25,73,6,2,4451.18,2024-12-09 15:46:44.050240,8902.36
152,5,73,6,8,876.05,2024-03-09 18:29:48.707804,7008.4
153,1,40,10,8,3833.05,2024-03-28 03:00:36.459251,30664.4
154,5,52,9,6,2081.77,2024-06-14 11:54:47.901371,12490.62
155,28,38,10,4,1932.07,2024-05-13 02:33:42.499356,7728.28
156,78,29,1,1,3712.03,2024-01-10 06:18:22.570512,3712.03
157,97,13,3,7,2775.54,2024-11-01 13:13:32.509132,19428.78
158,69,138,2,6,4660.29,2024-09-18 13:33:06.717806,27961.74
159,20,145,9,8,481.61,2024-06-29 08:09:10.342005,3852.88
160,85,131,8,8,155.21,2024-08-03 05:28:59.394261,1241.68
161,16,90,1,5,998.67,2024-03-15 06:49:37.688715,4993.35
162,68,85,2,6,3601.78,2024-07-25 11:58:15.262822,21610.68
163,11,87,3,4,2312.61,2024-04-03 23:08:04.731327,9250.44
164,6,52,3,4,3611.48,2024-12-02 14:18:08.014944,14445.92
165,34,48,8,1,4775.29,2024-03-20 06:45:41.151146,4775.29
166,71,44,6,7,2520.13,2024-05-05 10:59:14.277879,17640.91
167,61,122,6,8,3573.68,2024-09-17 16:54:28.075172,28589.44
168,55,20,5,9,705.38,2024-04-02 02:19:56.807363,6348.42
169,16,32,9,7,4063.86,2024-11-14 09:33:12.056501,28447.02
170,97,106,1,5,1094.15,2024-04-11 17:24:46.942701,5470.75
171,86,94,3,4,4785.44,2024-10-30 09:57:53.235876,19141.76
172,23,7,2,1,4498.86,2024-12-11 17:23:41.527618,4498.86
173,81,117,9,2,3850.96,2024-03-06 17:23:15.970205,7701.92
174,8,91,8,8,1256.58,2024-06-24 22:55:22.803025,10052.64
175,20,102,4,2,4463.87,2024-02-21 11:16:49.879190,8927.74
176,84,113,5,6,3508.93,2024-02-15 19:37:43.685610,21053.58
177,77,80,9,8,3101.04,2024-01-24 04:24:26.128497,24808.32
178,43,1,3,6,686.1,2024-09-24 21:01:50.351314,4116.6
179,35,47,4,9,3794.73,2024-04-10 13:11:39.889036,34152.57
180,47,94,3,3,4239.65,2024-05-20 04:37:35.002440,12718.95
181,80,7,3,3,2982.66,2024-06-01 22:04:59.801038,8947.98
182,72,95,7,5,1277.54,2024-07-17 03:24:19.555522,6387.7
183,57,21,1,8,663.57,2024-05-19 07:24:01.317518,5308.56
184,19,14,7,6,3670.38,2024-11-08 06:25:37.275012,22022.28
185,9,79,2,3,556.65,2024-08-23 09:04:17.823979,1669.95
186,46,109,8,9,3552.27,2024-03-01 18:25:22.391994,31970.43
187,54,41,10,2,3404.23,2024-03-16 20:32:31.569480,6808.46
188,81,32,7,3,116.29,2024-05-26 00:43:14.211792,348.87
189,56,41,3,5,2579.09,2024-06-22 14:30:26.199409,12895.45
190,60,67,5,2,2688.95,2024-06-16 13:27:12.414963,5377.9
191,22,103,3,8,2526.01,2024-10-19 08:07:35.517751,20208.08
192,91,40,5,1,1088.84,2024-05-20 17:12:20.336056,1088.84
193,34,14,3,7,740.54,2024-10-17 22:41:51.602149,5183.78
194,87,17,3,1,3268.45,2024-01-24 17:19:07.349001,3268.45
195,69,36,7,2,3532.96,2024-01-27 07:12:05.919014,7065.92
196,28,119,3,2,2162.78,2024-11-14 19:48:14.097558,4325.56
197,51,123,10,8,281.2,2024-06-09 00:20:13.866252,2249.6
198,80,102,10,4,4309.47,2024-01-21 21:48:23.158607,17237.88
199,13,44,3,4,1096.98,2024-02-13 09:16:25.178962,4387.92
200,64,120,1,3,1051.16,2024-03-02 20:29:10.660086,3153.48
201,29,112,3,1,2450.61,2024-07-27 04:22:38.959368,2450.61
202,13,68,7,8,4711.72,2024-07-28 15:56:05.109637,37693.76
203,48,91,5,3,1400.63,2024-05-20 04:25:30.962719,4201.89
204,27,42,3,2,1652.87,2024-02-12 03:17:40.653217,3305.74
205,13,138,5,1,2311.27,2024-01-07 07:55:45.304742,2311.27
206,76,104,5,4,3445.94,2024-11-27 03:44:53.894106,13783.76
207,71,139,7,2,4311.24,2024-06-08 20:39:29.333060,8622.48
208,85,54,10,8,612.92,2024-07-30 09:20:16.621338,4903.36
209,67,31,10,1,3554.44,2024-09-10 16:17:55.005968,3554.44
210,16,104,10,8,4850.8,2024-06-05 00:20:51.943313,38806.4
211,74,75,4,4,3698.38,2024-04-25 13:37:40.761723,14793.52
212,71,21,3,4,1616.55,2024-07-19 18:28:09.727314,6466.2
213,39,63,5,9,716.25,2024-10-24 06:02:14.677752,6446.25
214,33,53,1,7,854.84,2024-12-13 15:10:41.858588,5983.88
215,92,108,1,6,1117.73,2024-05-05 03:52:27.458834,6706.38
216,19,127,10,3,1725.45,2024-07-02 04:53:02.531700,5176.35
217,13,4,4,3,4637.72,2024-07-15 04:49:42.092243,13913.16
218,10,40,7,9,272.62,2024-09-08 02:44:47.576036,2453.58
219,98,70,4,6,3776.3,2024-10-13 05:52:34.059328,22657.8
220,10,31,9,9,1101.36,2024-04-16 07:36:06.865589,9912.24
221,33,42,6,4,1613.25,2024-09-30 06:05:12.845560,6453.0
222,47,58,9,5,1745.65,2024-06-01 04:54:13.480470,8728.25
223,81,27,7,9,667.4,2024-02-26 21:24:58.841102,6006.6
224,12,60,5,1,2766.53,2024-06-09 00:54:45.854719,2766.53
225,36,52,4,1,4604.72,2024-09-29 13:18:11.455978,4604.72
226,61,20,7,9,4595.79,2024-07-13 06:54:24.043605,41362.11
227,65,105,3,4,2965.44,2024-06-19 16:23:47.701869,11861.76
228,83,70,3,1,3637.66,2024-01-09 10:05:46.113978,3637.66
229,6,78,1,9,3055.57,2024-10-31 22:56:10.368899,27500.13
230,43,38,3,2,1794.52,2024-07-05 20:04:18.006910,3589.04
231,89,64,6,1,1182.55,2024-04-23 00:57:19.699753,1182.55
232,62,149,6,8,4765.72,2024-10-26 04:01:01.869387,38125.76
233,93,73,1,9,452.52,2024-05-18 03:57:50.044700,4072.68
234,84,67,9,9,1838.3,2024-10-18 00:14:26.252415,16544.7
235,97,120,9,7,277.33,2024-01-10 09:51:01.441525,1941.31
236,83,39,4,8,1715.37,2024-11-22 07:51:13.269204,13722.96
237,51,53,1,6,3008.04,2024-05-07 22:17:10.474206,18048.24
238,32,8,4,3,170.55,2024-09-17 00:10:07.407693,511.65
239,39,43,10,9,241.46,2024-04-03 14:56:45.588584,2173.14
240,57,122,5,9,1006.49,2024-04-05 12:28:39.996572,9058.41
241,83,13,9,3,4938.02,2024-05-03 06:02:18.197299,14814.06
242,48,67,2,7,576.08,2024-03-19 06:10:16.914474,4032.56
243,52,5,10,8,863.64,2024-01-13 09:47:28.477684,6909.12
244,12,36,6,3,4618.7,2024-05-17 15:36:54.222682,13856.1
245,65,51,8,3,4363.49,2024-01-06 09:13:23.296726,13090.47
246,20,35,8,2,2640.66,2024-02-13 10:44:09.942232,5281.32
247,48,135,6,7,1787.17,2024-09-18 14:31:45.018815,12510.19
248,9,108,5,2,2028.92,2024-08-23 12:58:50.168572,4057.84
249,57,3,9,7,510.3,2024-05-04 10:59:27.676459,3572.1
250,23,85,8,1,2291.59,2024-01-29 09:11:40.189381,2291.59
